id,timestamp,user_id,amount,transaction_type,account_age_days,risk_score,country,decision_v1,decision_v2
hist_001,2024-01-15T10:30:00Z,user_123,1500,purchase,365,0.2,US,approve,approve
hist_002,2024-01-15T11:45:00Z,user_456,5000,withdrawal,730,0.3,US,approve,approve
hist_003,2024-01-15T12:20:00Z,user_789,15000,transfer,90,0.7,BR,manual_review,reject
hist_004,2024-01-15T13:10:00Z,user_321,50000,withdrawal,45,0.85,NG,reject,reject
hist_005,2024-01-15T14:05:00Z,user_654,2500,purchase,1095,0.15,CA,approve,approve
hist_006,2024-01-15T15:30:00Z,user_987,8000,transfer,180,0.55,GB,manual_review,manual_review
hist_007,2024-01-15T16:15:00Z,user_111,500,purchase,1825,0.1,US,approve,approve
hist_008,2024-01-15T17:45:00Z,user_222,75000,withdrawal,30,0.95,RU,reject,reject
hist_009,2024-01-15T18:20:00Z,user_333,3000,purchase,548,0.25,DE,approve,approve
hist_010,2024-01-15T19:00:00Z,user_444,12000,transfer,274,0.45,FR,approve,manual_review
